11-1011;Chief executives
11-1011;Chief executives
11-1021;General and operations managers
11-1031;Legislators
11-2011;Advertising and promotions managers
11-2011;Advertising and promotions managers
11-2021;Marketing managers
11-2022;Sales managers
11-2031;Public relations and fundraising managers
11-3011;Administrative services managers
11-3021;Computer and information systems managers
11-3031;Financial managers
11-3031;Financial managers
11-3031;Financial managers
11-3051;Industrial production managers
11-3051;Industrial production managers
11-3051;Industrial production managers
11-3051;Industrial production managers
11-3051;Industrial production managers
11-3051;Industrial production managers
11-3051;Industrial production managers
11-3061;Purchasing managers
11-3071;Transportation, storage, and distribution managers
11-3071;Transportation, storage, and distribution managers
11-3071;Transportation, storage, and distribution managers
11-3071;Transportation, storage, and distribution managers
11-3111;Compensation and benefits managers
11-3121;Human resources managers
11-3131;Training and development managers
11-9013;Farmers, ranchers, and other agricultural managers
11-9013;Farmers, ranchers, and other agricultural managers
11-9013;Farmers, ranchers, and other agricultural managers
11-9013;Farmers, ranchers, and other agricultural managers
11-9021;Construction managers
11-9031;Education administrators, preschool and childcare center/program
11-9032;Education administrators, elementary and secondary school
11-9033;Education administrators, postsecondary
11-9039;Education administrators, all other
11-9039;Education administrators, all other
11-9039;Education administrators, all other
11-9041;Architectural and engineering managers
11-9041;Architectural and engineering managers
11-9051;Food service managers
11-9061;Funeral service managers
11-9071;Gaming managers
11-9081;Lodging managers
11-9111;Medical and health services managers
11-9121;Natural sciences managers
11-9121;Natural sciences managers
11-9121;Natural sciences managers
11-9131;Postmasters and mail superintendents
11-9141;Property, real estate, and community association managers
11-9151;Social and community service managers
11-9161;Emergency management directors
11-9199;Managers, all other
11-9199;Managers, all other
11-9199;Managers, all other
11-9199;Managers, all other
11-9199;Managers, all other
11-9199;Managers, all other
11-9199;Managers, all other
11-9199;Managers, all other
11-9199;Managers, all other
11-9199;Managers, all other
13-1011;Agents and business managers of artists, performers, and athletes
13-1021;Buyers and purchasing agents, farm products
13-1022;Wholesale and retail buyers, except farm products
13-1023;Purchasing agents, except wholesale, retail, and farm products
13-1031;Claims adjusters, examiners, and investigators
13-1031;Claims adjusters, examiners, and investigators
13-1031;Claims adjusters, examiners, and investigators
13-1032;Insurance appraisers, auto damage
13-1041;Compliance officers
13-1041;Compliance officers
13-1041;Compliance officers
13-1041;Compliance officers
13-1041;Compliance officers
13-1041;Compliance officers
13-1041;Compliance officers
13-1051;Cost estimators
13-1071;Human resources specialists
13-1074;Farm labor contractors
13-1075;Labor relations specialists
13-1081;Logisticians
13-1081;Logisticians
13-1081;Logisticians
13-1111;Management analysts
13-1121;Meeting, convention, and event planners
13-1131;Fundraisers
13-1141;Compensation, benefits, and job analysis specialists
13-1151;Training and development specialists
13-1161;Market research analysts and marketing specialists
13-1199;Business operations specialists, all other
13-1199;Business operations specialists, all other
13-1199;Business operations specialists, all other
13-1199;Business operations specialists, all other
13-1199;Business operations specialists, all other
13-1199;Business operations specialists, all other
13-1199;Business operations specialists, all other
13-2011;Accountants and auditors
13-2011;Accountants and auditors
13-2011;Accountants and auditors
13-2021;Appraisers and assessors of real estate
13-2021;Appraisers and assessors of real estate
13-2021;Appraisers and assessors of real estate
13-2031;Budget analysts
13-2041;Credit analysts
13-2051;Financial analysts
13-2052;Personal financial advisors
13-2053;Insurance underwriters
13-2061;Financial examiners
13-2071;Credit counselors
13-2071;Credit counselors
13-2072;Loan officers
13-2081;Tax examiners and collectors, and revenue agents
13-2082;Tax preparers
13-2099;Financial specialists, all other
13-2099;Financial specialists, all other
13-2099;Financial specialists, all other
13-2099;Financial specialists, all other
13-2099;Financial specialists, all other
15-1111;Computer and information research scientists
15-1121;Computer systems analysts
15-1121;Computer systems analysts
15-1122;Information security analysts
15-1131;Computer programmers
15-1132;Software developers, applications
15-1133;Software developers, systems software
15-1134;Web developers
15-1141;Database administrators
15-1142;Network and computer systems administrators
15-1143;Computer network architects
15-1143;Computer network architects
15-1151;Computer user support specialists
15-1152;Computer network support specialists
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-1199;Computer occupations, all other
15-2011;Actuaries
15-2021;Mathematicians
15-2031;Operations research analysts
15-2041;Statisticians
15-2041;Statisticians
15-2041;Statisticians
15-2091;Mathematical technicians
15-2099;Mathematical science occupations, all other
17-1011;Architects, except landscape and naval
17-1012;Landscape architects
17-1021;Cartographers and photogrammetrists
17-1022;Surveyors
17-1022;Surveyors
17-2011;Aerospace engineers
17-2021;Agricultural engineers
17-2031;Biomedical engineers
17-2041;Chemical engineers
17-2051;Civil engineers
17-2051;Civil engineers
17-2061;Computer hardware engineers
17-2071;Electrical engineers
17-2072;Electronics engineers, except computer
17-2072;Electronics engineers, except computer
17-2081;Environmental engineers
17-2081;Environmental engineers
17-2111;Health and safety engineers, except mining safety engineers and inspectors
17-2111;Health and safety engineers, except mining safety engineers and inspectors
17-2111;Health and safety engineers, except mining safety engineers and inspectors
17-2111;Health and safety engineers, except mining safety engineers and inspectors
17-2112;Industrial engineers
17-2112;Industrial engineers
17-2121;Marine engineers and naval architects
17-2121;Marine engineers and naval architects
17-2121;Marine engineers and naval architects
17-2131;Materials engineers
17-2141;Mechanical engineers
17-2141;Mechanical engineers
17-2141;Mechanical engineers
17-2151;Mining and geological engineers, including mining safety engineers
17-2161;Nuclear engineers
17-2171;Petroleum engineers
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-2199;Engineers, all other
17-3011;Architectural and civil drafters
17-3011;Architectural and civil drafters
17-3011;Architectural and civil drafters
17-3012;Electrical and electronics drafters
17-3012;Electrical and electronics drafters
17-3012;Electrical and electronics drafters
17-3013;Mechanical drafters
17-3019;Drafters, all other
17-3021;Aerospace engineering and operations technicians
17-3022;Civil engineering technicians
17-3023;Electrical and electronics engineering technicians
17-3023;Electrical and electronics engineering technicians
17-3023;Electrical and electronics engineering technicians
17-3024;Electro-mechanical technicians
17-3024;Electro-mechanical technicians
17-3025;Environmental engineering technicians
17-3026;Industrial engineering technicians
17-3027;Mechanical engineering technicians
17-3027;Mechanical engineering technicians
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3029;Engineering technicians, except drafters, all other
17-3031;Surveying and mapping technicians
17-3031;Surveying and mapping technicians
17-3031;Surveying and mapping technicians
19-1011;Animal scientists
19-1012;Food scientists and technologists
19-1013;Soil and plant scientists
19-1021;Biochemists and biophysicists
19-1022;Microbiologists
19-1023;Zoologists and wildlife biologists
19-1029;Biological scientists, all other
19-1029;Biological scientists, all other
19-1029;Biological scientists, all other
19-1029;Biological scientists, all other
19-1031;Conservation scientists
19-1031;Conservation scientists
19-1031;Conservation scientists
19-1031;Conservation scientists
19-1032;Foresters
19-1041;Epidemiologists
19-1042;Medical scientists, except epidemiologists
19-1099;Life scientists, all other
19-2011;Astronomers
19-2012;Physicists
19-2021;Atmospheric and space scientists
19-2031;Chemists
19-2032;Materials scientists
19-2041;Environmental scientists and specialists, including health
19-2041;Environmental scientists and specialists, including health
19-2041;Environmental scientists and specialists, including health
19-2041;Environmental scientists and specialists, including health
19-2042;Geoscientists, except hydrologists and geographers
19-2043;Hydrologists
19-2099;Physical scientists, all other
19-2099;Physical scientists, all other
19-3011;Economists
19-3011;Economists
19-3022;Survey researchers
19-3031;Clinical, counseling, and school psychologists
19-3031;Clinical, counseling, and school psychologists
19-3031;Clinical, counseling, and school psychologists
19-3031;Clinical, counseling, and school psychologists
19-3032;Industrial-organizational psychologists
19-3039;Psychologists, all other
19-3039;Psychologists, all other
19-3041;Sociologists
19-3051;Urban and regional planners
19-3091;Anthropologists and archeologists
19-3091;Anthropologists and archeologists
19-3091;Anthropologists and archeologists
19-3092;Geographers
19-3093;Historians
19-3094;Political scientists
19-3099;Social scientists and related workers, all other
19-3099;Social scientists and related workers, all other
19-4011;Agricultural and food science technicians
19-4011;Agricultural and food science technicians
19-4011;Agricultural and food science technicians
19-4021;Biological technicians
19-4031;Chemical technicians
19-4041;Geological and petroleum technicians
19-4041;Geological and petroleum technicians
19-4041;Geological and petroleum technicians
19-4051;Nuclear technicians
19-4051;Nuclear technicians
19-4051;Nuclear technicians
19-4061;Social science research assistants
19-4061;Social science research assistants
19-4091;Environmental science and protection technicians, including health
19-4092;Forensic science technicians
19-4093;Forest and conservation technicians
19-4099;Life, physical, and social science technicians, all other
19-4099;Life, physical, and social science technicians, all other
19-4099;Life, physical, and social science technicians, all other
19-4099;Life, physical, and social science technicians, all other
21-1011;Substance abuse and behavioral disorder counselors
21-1012;Educational, guidance, school, and vocational counselors
21-1013;Marriage and family therapists
21-1014;Mental health counselors
21-1015;Rehabilitation counselors
21-1019;Counselors, all other
21-1021;Child, family, and school social workers
21-1022;Healthcare social workers
21-1023;Mental health and substance abuse social workers
21-1029;Social workers, all other
21-1091;Health educators
21-1092;Probation officers and correctional treatment specialists
21-1093;Social and human service assistants
21-1094;Community health workers
21-1099;Community and social service specialists, all other
21-2011;Clergy
21-2021;Directors, religious activities and education
21-2099;Religious workers, all other
23-1011;Lawyers
23-1012;Judicial law clerks
23-1021;Administrative law judges, adjudicators, and hearing officers
23-1022;Arbitrators, mediators, and conciliators
23-1023;Judges, magistrate judges, and magistrates
23-2011;Paralegals and legal assistants
23-2091;Court reporters
23-2093;Title examiners, abstractors, and searchers
23-2099;Legal support workers, all other
25-1011;Business teachers, postsecondary
25-1021;Computer science teachers, postsecondary
25-1022;Mathematical science teachers, postsecondary
25-1031;Architecture teachers, postsecondary
25-1032;Engineering teachers, postsecondary
25-1041;Agricultural sciences teachers, postsecondary
25-1042;Biological science teachers, postsecondary
25-1043;Forestry and conservation science teachers, postsecondary
25-1051;Atmospheric, earth, marine, and space sciences teachers, postsecondary
25-1052;Chemistry teachers, postsecondary
25-1053;Environmental science teachers, postsecondary
25-1054;Physics teachers, postsecondary
25-1061;Anthropology and archeology teachers, postsecondary
25-1062;Area, ethnic, and cultural studies teachers, postsecondary
25-1063;Economics teachers, postsecondary
25-1064;Geography teachers, postsecondary
25-1065;Political science teachers, postsecondary
25-1066;Psychology teachers, postsecondary
25-1067;Sociology teachers, postsecondary
25-1069;Social sciences teachers, postsecondary, all other
25-1071;Health specialties teachers, postsecondary
25-1072;Nursing instructors and teachers, postsecondary
25-1081;Education teachers, postsecondary
25-1082;Library science teachers, postsecondary
25-1111;Criminal justice and law enforcement teachers, postsecondary
25-1112;Law teachers, postsecondary
25-1113;Social work teachers, postsecondary
25-1121;Art, drama, and music teachers, postsecondary
25-1122;Communications teachers, postsecondary
25-1123;English language and literature teachers, postsecondary
25-1124;Foreign language and literature teachers, postsecondary
25-1125;History teachers, postsecondary
25-1126;Philosophy and religion teachers, postsecondary
25-1191;Graduate teaching assistants
25-1192;Home economics teachers, postsecondary
25-1193;Recreation and fitness studies teachers, postsecondary
25-1194;Vocational education teachers, postsecondary
25-1199;Postsecondary teachers, all other
25-2011;Preschool teachers, except special education
25-2012;Kindergarten teachers, except special education
25-2021;Elementary school teachers, except special education
25-2022;Middle school teachers, except special and career/technical education
25-2023;Career/technical education teachers, middle school
25-2031;Secondary school teachers, except special and career/technical education
25-2032;Career/technical education teachers, secondary school
25-2051;Special education teachers, preschool
25-2052;Special education teachers, kindergarten and elementary school
25-2053;Special education teachers, middle school
25-2054;Special education teachers, secondary school
25-2059;Special education teachers, all other
25-2059;Special education teachers, all other
25-3011;Adult basic and secondary education and literacy teachers and instructors
25-3021;Self-enrichment education teachers
25-3099;Teachers and instructors, all other
25-3099;Teachers and instructors, all other
25-4011;Archivists
25-4012;Curators
25-4013;Museum technicians and conservators
25-4021;Librarians
25-4031;Library technicians
25-9011;Audio-visual and multimedia collections specialists
25-9021;Farm and home management advisors
25-9031;Instructional coordinators
25-9031;Instructional coordinators
25-9041;Teacher assistants
25-9099;Education, training, and library workers, all other
27-1011;Art directors
27-1012;Craft artists
27-1013;Fine artists, including painters, sculptors, and illustrators
27-1014;Multimedia artists and animators
27-1019;Artists and related workers, all other
27-1021;Commercial and industrial designers
27-1022;Fashion designers
27-1023;Floral designers
27-1024;Graphic designers
27-1025;Interior designers
27-1026;Merchandise displayers and window trimmers
27-1027;Set and exhibit designers
27-1029;Designers, all other
27-2011;Actors
27-2012;Producers and directors
27-2012;Producers and directors
27-2012;Producers and directors
27-2012;Producers and directors
27-2012;Producers and directors
27-2012;Producers and directors
27-2021;Athletes and sports competitors
27-2022;Coaches and scouts
27-2023;Umpires, referees, and other sports officials
27-2031;Dancers
27-2032;Choreographers
27-2041;Music directors and composers
27-2041;Music directors and composers
27-2041;Music directors and composers
27-2042;Musicians and singers
27-2042;Musicians and singers
27-2042;Musicians and singers
27-2099;Entertainers and performers, sports and related workers, all other
27-3011;Radio and television announcers
27-3012;Public address system and other announcers
27-3021;Broadcast news analysts
27-3022;Reporters and correspondents
27-3031;Public relations specialists
27-3041;Editors
27-3042;Technical writers
27-3043;Writers and authors
27-3043;Writers and authors
27-3043;Writers and authors
27-3091;Interpreters and translators
27-3099;Media and communication workers, all other
27-4011;Audio and video equipment technicians
27-4012;Broadcast technicians
27-4013;Radio operators
27-4014;Sound engineering technicians
27-4021;Photographers
27-4031;Camera operators, television, video, and motion picture
27-4032;Film and video editors
27-4099;Media and communication equipment workers, all other
29-1011;Chiropractors
29-1021;Dentists, general
29-1022;Oral and maxillofacial surgeons
29-1023;Orthodontists
29-1024;Prosthodontists
29-1029;Dentists, all other specialists
29-1031;Dietitians and nutritionists
29-1041;Optometrists
29-1051;Pharmacists
29-1061;Anesthesiologists
29-1062;Family and general practitioners
29-1063;Internists, general
29-1064;Obstetricians and gynecologists
29-1065;Pediatricians, general
29-1066;Psychiatrists
29-1067;Surgeons
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1069;Physicians and surgeons, all other
29-1071;Physician assistants
29-1071;Physician assistants
29-1081;Podiatrists
29-1122;Occupational therapists
29-1122;Occupational therapists
29-1123;Physical therapists
29-1124;Radiation therapists
29-1125;Recreational therapists
29-1125;Recreational therapists
29-1125;Recreational therapists
29-1126;Respiratory therapists
29-1127;Speech-language pathologists
29-1128;Exercise physiologists
29-1129;Therapists, all other
29-1131;Veterinarians
29-1141;Registered nurses
29-1141;Registered nurses
29-1141;Registered nurses
29-1141;Registered nurses
29-1141;Registered nurses
29-1151;Nurse anesthetists
29-1161;Nurse midwives
29-1171;Nurse practitioners
29-1181;Audiologists
29-1199;Health diagnosing and treating practitioners, all other
29-1199;Health diagnosing and treating practitioners, all other
29-1199;Health diagnosing and treating practitioners, all other
29-1199;Health diagnosing and treating practitioners, all other
29-2011;Medical and clinical laboratory technologists
29-2011;Medical and clinical laboratory technologists
29-2011;Medical and clinical laboratory technologists
29-2011;Medical and clinical laboratory technologists
29-2012;Medical and clinical laboratory technicians
29-2021;Dental hygienists
29-2031;Cardiovascular technologists and technicians
29-2032;Diagnostic medical sonographers
29-2033;Nuclear medicine technologists
29-2034;Radiologic technologists
29-2035;Magnetic resonance imaging technologists
29-2041;Emergency medical technicians and paramedics
29-2051;Dietetic technicians
29-2052;Pharmacy technicians
29-2053;Psychiatric technicians
29-2054;Respiratory therapy technicians
29-2055;Surgical technologists
29-2056;Veterinary technologists and technicians
29-2057;Ophthalmic medical technicians
29-2061;Licensed practical and licensed vocational nurses
29-2071;Medical records and health information technicians
29-2081;Opticians, dispensing
29-2091;Orthotists and prosthetists
29-2092;Hearing aid specialists
29-2099;Health technologists and technicians, all other
29-2099;Health technologists and technicians, all other
29-2099;Health technologists and technicians, all other
29-2099;Health technologists and technicians, all other
29-2099;Health technologists and technicians, all other
29-9011;Occupational health and safety specialists
29-9012;Occupational health and safety technicians
29-9091;Athletic trainers
29-9092;Genetic counselors
29-9099;Healthcare practitioners and technical workers, all other
29-9099;Healthcare practitioners and technical workers, all other
31-1011;Home health aides
31-1013;Psychiatric aides
31-1014;Nursing assistants
31-1015;Orderlies
31-2011;Occupational therapy assistants
31-2012;Occupational therapy aides
31-2021;Physical therapist assistants
31-2022;Physical therapist aides
31-9011;Massage therapists
31-9091;Dental assistants
31-9092;Medical assistants
31-9093;Medical equipment preparers
31-9094;Medical transcriptionists
31-9095;Pharmacy aides
31-9096;Veterinary assistants and laboratory animal caretakers
31-9097;Phlebotomists
31-9099;Healthcare support workers, all other
31-9099;Healthcare support workers, all other
31-9099;Healthcare support workers, all other
33-1011;First-line supervisors of correctional officers
33-1012;First-line supervisors of police and detectives
33-1021;First-line supervisors of fire fighting and prevention workers
33-1021;First-line supervisors of fire fighting and prevention workers
33-1021;First-line supervisors of fire fighting and prevention workers
33-1099;First-line supervisors of protective service workers, all other
33-2011;Firefighters
33-2011;Firefighters
33-2011;Firefighters
33-2021;Fire inspectors and investigators
33-2021;Fire inspectors and investigators
33-2021;Fire inspectors and investigators
33-2022;Forest fire inspectors and prevention specialists
33-3011;Bailiffs
33-3012;Correctional officers and jailers
33-3021;Detectives and criminal investigators
33-3021;Detectives and criminal investigators
33-3021;Detectives and criminal investigators
33-3021;Detectives and criminal investigators
33-3021;Detectives and criminal investigators
33-3021;Detectives and criminal investigators
